Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.22,-.21,-.16,-.16,***,***,-.11,-.15,-.19
1881,-.18,-.13,.04,.06,.07,-.17,.01,-.02,-.14,-.20,-.17,-.06,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.06,-.15,-.14,-.22,-.15,-.06,-.14,-.23,-.15,-.35,-.10,-.08,.09,-.08,-.14,-.17
1883,-.28,-.36,-.12,-.18,-.17,-.06,-.07,-.13,-.21,-.11,-.23,-.10,-.17,-.19,-.33,-.16,-.09,-.18
1884,-.12,-.08,-.36,-.39,-.34,-.34,-.32,-.27,-.27,-.24,-.32,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.57,-.32,-.25,-.41,-.44,-.42,-.32,-.29,-.27,-.22,-.22,-.08,-.32,-.34,-.40,-.37,-.35,-.24
1886,-.41,-.49,-.41,-.27,-.23,-.33,-.17,-.29,-.22,-.26,-.25,-.23,-.30,-.28,-.33,-.30,-.26,-.25
1887,-.70,-.55,-.34,-.33,-.29,-.23,-.24,-.33,-.24,-.34,-.24,-.32,-.35,-.34,-.49,-.32,-.27,-.27
1888,-.32,-.34,-.39,-.19,-.21,-.16,-.09,-.14,-.11,.03,.05,-.03,-.16,-.18,-.33,-.26,-.13,-.01
1889,-.07,.19,.07,.11,.00,-.09,-.06,-.19,-.23,-.24,-.32,-.28,-.09,-.07,.03,.06,-.11,-.26
1890,-.41,-.45,-.39,-.28,-.39,-.23,-.27,-.38,-.35,-.24,-.43,-.30,-.34,-.34,-.38,-.35,-.29,-.34
1891,-.32,-.46,-.17,-.26,-.15,-.20,-.17,-.16,-.15,-.21,-.30,-.03,-.22,-.24,-.36,-.20,-.18,-.22
1892,-.27,-.09,-.39,-.32,-.23,-.21,-.31,-.26,-.15,-.13,-.41,-.37,-.26,-.24,-.13,-.31,-.26,-.23
1893,-.80,-.55,-.21,-.26,-.34,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.57,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.39,-.23,-.23,-.27,-.22,-.24,-.20,-.29,-.30,-.37,-.32,-.28,-.24
1895,-.39,-.41,-.31,-.20,-.26,-.19,-.16,-.16,-.11,-.10,-.15,-.12,-.21,-.22,-.33,-.26,-.17,-.12
1896,-.21,-.12,-.25,-.29,-.15,-.10,-.02,-.04,-.06,.08,-.03,-.03,-.10,-.11,-.15,-.23,-.05,-.01
1897,-.14,-.16,-.12,-.01,.00,-.10,-.02,-.09,-.08,-.11,-.17,-.19,-.10,-.09,-.11,-.05,-.07,-.12
1898,.00,-.28,-.49,-.29,-.29,-.17,-.21,-.25,-.20,-.33,-.37,-.22,-.26,-.26,-.16,-.36,-.21,-.30
1899,-.15,-.38,-.35,-.20,-.23,-.31,-.15,-.07,-.04,-.03,.14,-.25,-.17,-.17,-.25,-.26,-.18,.02
1900,-.34,-.04,.02,-.08,-.08,-.09,-.12,-.08,-.04,.11,-.05,-.05,-.07,-.09,-.21,-.04,-.09,.00
1901,-.21,-.10,.07,-.01,-.14,-.11,-.14,-.20,-.22,-.28,-.16,-.26,-.15,-.13,-.12,-.03,-.15,-.22
1902,-.17,-.06,-.28,-.28,-.32,-.30,-.28,-.29,-.29,-.28,-.35,-.41,-.27,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.39,-.41,-.35,-.44,-.49,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.57,-.49,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.19,-.19,-.24,-.06,-.12,-.26,-.27,-.42,-.27,-.24,-.16
1906,-.28,-.29,-.18,-.05,-.25,-.20,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.41,-.35,-.34,-.34,-.22,-.46,-.46,-.38,-.36,-.36,-.36,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.37,-.35,-.45,-.36,-.44,-.51,-.48,-.42,-.42,-.41,-.45,-.39,-.43
1909,-.72,-.45,-.54,-.58,-.54,-.51,-.45,-.33,-.39,-.39,-.31,-.56,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.41,-.50,-.42,-.34,-.38,-.34,-.36,-.39,-.41,-.54,-.67,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.62,-.57,-.61,-.53,-.51,-.49,-.41,-.43,-.41,-.26,-.20,-.20,-.44,-.48,-.62,-.55,-.44,-.29
1912,-.25,-.14,-.37,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.39,-.51
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.33,-.35,-.31,-.19,-.01,-.34,-.38,-.43,-.42,-.38,-.28
1914,.04,-.09,-.23,-.29,-.21,-.26,-.24,-.16,-.17,-.03,-.15,-.03,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.19,-.03,-.09,.06,-.06,-.21,-.12,-.22,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.82,-.36,-.30,-.15,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.55,-.43,-.25,-.22,-.23,-.44,-.33,-.66,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.46,-.34,-.24,-.43,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.37,-.32,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.32,-.25,-.20,-.41,-.41,-.27,-.26,-.24,-.20,-.32,-.29
1920,-.24,-.26,-.12,-.24,-.26,-.35,-.30,-.26,-.22,-.27,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.23,-.28,-.22,-.12
1922,-.32,-.44,-.14,-.23,-.33,-.30,-.27,-.32,-.36,-.33,-.14,-.18,-.28,-.28,-.31,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.39,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.27,-.26,-.11
